title,lyrics
Bambi Slaughter,"['1, 2, 3, 4', 'Shooting! Get the blast!', ""Raiding! grandma's garage"", 'Selling! personal possessions for pot', 'Hawks, my daddy, favorite gold plated watch', 'Stripping the foreskin from my bones', 'Scrubbing my nerves with wire brush', 'Massive intentions, fluid frost', 'Animal intentions into my knots', ""Bambi Slaughter ain't the same as killing humans"", ""Bambi Slaughter ain't the same as killing humans"", ""Bambi Slaughter ain't the same as killing humans"", ""Spit the wave, like I've been awhile"", 'Looking! the medicine cabinet for drugs', 'Stealing! tobacco from grocery stores', 'Scamming! tapes from my trustworthy friends', 'Humm just need planning, pretty little houses to rob.']"
Beans,"['Beans, beans, beans', 'Jessie had some beans', 'He was happy, happy, happy', 'And he ate some beans', 'Naked, naked, naked', 'Sitting cross legged', 'Naked, naked, naked', 'And he was happy, happy, happy', 'And he ate some beans', 'Wine, wine, wine', 'Jessie had some wine', 'He was happy, happy, happy', 'And he ate some wine', 'Beans, beans,beans', 'Daddy ate some beans', 'And ge dranks some wine', 'And he was happy, happy, happy', 'And he dranks some beans']"
Been a Son,"['She should have stayed away from friends', 'She should have had more time to spend', 'She should have died when she was born', 'She should have worn the crown of thorns', 'She should have been a son', 'She should have been a son', 'She should have been a son', 'She should have been a son', 'She should have made her mother proud', 'She should have stood out in a crowd', 'She should have had another chance', 'She should have fallen on love stance', 'She should have been a son', 'She should have been a son', 'She should have been a son', 'She should have been a son', 'Been a son', 'She should have been a son', 'She should have been a son', 'She should have been a son', 'She should have been a son', 'She should have stayed away from friends', 'She should have had more time to spend', 'She should have died when she was born', 'She should have worn the crown of thorns', 'She should have been a son', 'She should have been a son', 'She should have been a son', 'She should have been a son']"
Beeswax,"['I was a seeking out for a funnel', 'Not only magnets but I could pry bar it shut', 'Gluing my manhood to the manhole', 'Like Pepe Lepew the scent hey hey had a weight clutch', 'I got my titilate spayed', 'I got my titilate spayed', 'I got my titilate spayed', 'I got my titilate', 'STUPID assbutton', 'Tweeking and flexing if the wind blows just right', 'Tacky and thumbs on polyester', 'Highwater jumpsuits and a raped ape', 'Woody has Pix-n-Fact', 'I got my titilate spayed', 'I got my titilate spayed', 'I got my titilate spayed', 'I got my titilate', ""My how you've grown"", 'I gotta DROP-D silly string', ""Don't trust the foams"", 'I got dick dick hear my fucking hate', 'I got my titilate spayed', 'I got my titilate spayed', 'I got my titilate spayed', 'I got my titilate', 'Vinegar and Water is gaining monthly', 'Fiberglass insulation disguised as cotton candy', 'Spahning down stream El Rancho ovulate', 'Feeding a cow hamburger and raw', 'Peter has brought me the tiki idol', ""Billy's sneer remind me of someone"", 'Homesick a bay aboard the love boat', 'Toni Tenille Sonny Bono Charo had a nice set of lungs', 'I got my titilate spayed', 'I got UNLIMITED', 'I got my titilate spayed', 'I got my titilate spayed', 'Nothing hard', 'I gotta be around pussy', ""Don't let me fall"", 'I got a heh-heh...', ""Well you can't live"", 'We got my titilate spayed', 'I got my titilate spayed', 'I got my titilate spayed', 'I got my titilate spayed', 'I got my titilate spayed', 'I got my titilate spayed', 'I got my titilate']"
Big Cheese,"['Big Cheese', 'Make me', 'Mine says', 'Go to the office', 'Big cheese', 'Make me', 'Mine says', 'What is it?', 'Black is black', 'No trading back', 'We were enemies', 'Show you all what a man is', 'Sure you are', 'But what am I?', 'We were enemies', 'Big lies', 'Make mine', 'Mine says', 'Go to the office', 'Big cheese', 'Make me', 'Message?', 'What is it?', 'Black is black', 'No trading back', 'We were enemies', 'She eats glue', 'How about you?', 'Big cheese', 'Make me', 'Mine says', 'Go the office', 'Big cheese', 'Makes me', 'Mine says', 'What the hell?', 'Black is black', 'No trading back', 'We were enemies', 'She eats glue', 'How about you?', 'Black is black', 'No trading back', 'We were enemies', 'Sure you are', 'But what am I?', 'We were enemies', 'She eats glue', 'How about you?', 'We were enemies', 'Sure you are', 'But what am I?', 'We were enemies']"
Big Long Now,"[""It's not cold enough"", 'Please put this side up', 'She is moving through', 'Can we show our faces now?', 'I`m not interesting', ""She's not turning green"", 'Shameful as it seems', 'Can we show our faces now?', 'Endless climb', 'I am blind', ""Why can't I hear?"", 'Color blind', 'Speaking a phrase', 'Instantly grown', 'I am blind', 'Waiting in line', ""It's not cold enough"", 'Please put this side up', 'She is moving through', 'Can we show our faces now?', 'I`m not interesting', ""She's not turning green"", 'Shameful as it seems', 'Can we show our faces now?', 'Endless climb', 'I am blind', ""Why can't I hear?"", 'Color blind', 'Speaking a phrase', 'Instantly grown', 'I am blind', 'Why am I sure?']"
Blandest,"[""You're my favorite"", 'Of my saviours', ""You're my favorite"", 'Oh no', ""Yes you're my favorite"", 'Of my favors', ""You're my razor"", 'Oh no', 'Hey!', ""And the situation wasn't quite"", 'As intense as I thought', 'I need you around', 'To remind me when not to be calm (to remind me what not tobecome)', ""And the situation wasn't quite"", 'As intense as I thought', 'I need you around', 'To remind me when not to be calm', 'Calm, calm, calm']"
Blew,"[""If you wouldn't mind, I would like to blew"", ""If you wouldn't mind, I would like to lose"", ""If you wouldn't care, I would like to leave"", ""If you wouldn't mind, I would like to breathe"", 'Is there another reason for your stain?', 'Could you believe who we knew was stress or strain?', 'Here is another word that rhymes with shame', ""If you wouldn't mind, I would like to blew"", ""If you wouldn't mind, I would like to lose"", ""If you wouldn't care, I would like to leave"", ""If you wouldn't mind, I would like to breathe"", 'Is there another reason for your stain?', 'Could you believe who we knew was stress or strain?', 'Here is another word that rhymes with shame', 'Is there another reason for your stain?', 'Could you believe who we knew was stress or strain?', 'Here is another word that rhymes with shame', 'You could do anything', 'You could do anything', 'You could do anything', 'You could do anything', 'You could do anything', 'You could do anything', 'You could do anything', 'You could do anything']"
Born In a Junkyard,"[""I'm long gone from vertical, somewhere south is stopping me"", ""I'm long gone from the american dream , you may decide it's not for me"", ""I'm long gone but I'll let you through, you may decide it's not for you."", ""I'm long gone but I'll let you through, "", ""you may decide there's nothing there "", 'born in a junkyard-4x', ""I'm long gone but I'll let you through, you may decide that it's not good"", ""I'm long gone but I'll let you leave, you may decide on stopping me"", ""I'm long gone but I'll let you through, you may decide it's not that good"", ""I'm long gone but I'll let you leave, you may decide on stopping me.""]"
Breed,"[""I don't care, I don't care, I don't care, I don't care"", ""I don't care, care if it's old"", ""I don't mind, I don't mind, I don't mind, I don't mind"", ""Mind, don't have a mind"", 'Get away, get away, get away, get away', 'Away, away from your home', ""I'm afraid, I'm afraid, I'm afraid, I'm afraid"", 'Afraid, ghost', 'Even if you have, even if you need', ""I don't mean to stare, we don't have to breed"", 'We could plant a house, we could build a tree', ""I don't even care, we could have all three"", 'She said (she said)', 'She said (she said)', 'She said (she said)', 'She said (she said)', 'She said (she said)', 'She said (she said)', 'She said (she said)', 'She said', ""I don't care, I don't care, I don't care, I don't care"", ""I don't care, care if it's old"", ""I don't mind, I don't mind, I don't mind, I don't mind"", ""Mind, don't have a mind"", 'Get away, get away, get away, get away', 'Away, away from your home', ""I'm afraid, I'm afraid, I'm afraid, I'm afraid"", 'Afraid, ghost', 'Even if you have, even if you need', ""I don't mean to stare, we don't have to breed"", 'We could plant a house, we could build a tree', ""I don't even care, we could have all three"", 'She said (she said)', 'She said (she said)', 'She said (she said)', 'She said (she said)', 'She said (she said)', 'She said (she said)', 'She said (she said)', 'She said', 'Even if you have, even if you need', ""I don't mean to stare, we don't have to breed"", 'We could plant a house, we could build a tree', ""I don't even care, we could have all three"", 'She said (she said)', 'She said (she said)', 'She said (she said)', 'She said (she said)', 'She said (she said)', 'She said (she said)', 'She said (she said)', 'She said', 'Good']"
