title,lyrics
Don't Want It All,"['To hope is admittance', 'Feed before beginning', 'Double-sided cynics', 'Reflected image', ""Don't be so selfish"", 'Leave in me this', 'Follow it far', 'To find where you are', ""You haven't grown"", 'Go on alone', 'Never finished his sentence', 'Remained in seclusion', 'For the next few days', 'The family circle noose', 'He had removed us', 'All the styles of heresy', 'Finally he appeared unexpectedly', 'Looking for company']"
Down In The Dark,"[""Baby you're going down in the dark"", 'Show my lonely night is fallen', ""And I don't have very long"", 'Think my blood might boil', 'Within my face might burn', ""You're gonna make it better for a little while"", ""Baby you're gonna die someday"", ""See you in your crowded' wasted"", 'When you start to fade', ""Then we'll start singing faster"", ""I wouldn't wait so long"", ""Won't get any easier in the dark"", 'Oh yea', 'You will(x2)', ""Baby you're going down in the dark"", 'Show my lonely night is fallen', ""And I don't have very long"", 'Think my blood might boil', 'Within my face might burn', ""You're gonna make it better for a little while"", 'Oh yea', 'You will(x2)']"
Downer,"['Portray sincerity', 'Act out of loyalty', 'Defend your free country', 'Wish away the pain', 'Hand out lobotomies', 'To save little families', 'Surrealistic fantasy', 'Bland boring plain!', 'Hold me down in restitution', 'Living out your date with fusion', 'Is the whole fleece shun in master?', ""Don't feel guilty, master writing"", ""Somebody said that they're not much like I am"", 'I know I can', 'Make enough of the words', 'For you to follow along', 'I sink and then some', 'Slippery pessimist', 'Hypocrite master', 'Conservative communist', 'Apocalyptic bastard', 'Thank you dear God', 'For putting me on this Earth', 'I feel very privileged', 'In debt for my thirst!', 'Hold me down in restitution', 'Living out your date with fusion', 'Is the whole fleece shun in master?', ""Don't feel guilty, master writing"", ""Somebody said that they're not much like I am"", 'I know I can', 'Make enough of the words', 'For you to follow along', 'I sink and then some']"
Drain You,"[""One baby to another says: I'm lucky to have met you"", ""I don't care what you think unless it is about me"", 'It is now my duty to completely drain you', 'I travel through a tube and end up in your infection', 'Chew your meat for you', 'Pass it back and forth', 'In a passionate kiss', 'From my mouth to yours', 'I like you', ""With eyes so dilated I've become your pupil"", ""You've taught me everything without a poison apple"", ""The water is so yellow, I'm a healthy student"", 'Indebted and so grateful, vacuum out the fluids', 'Chew your meat for you', 'Pass it back and forth', 'In a passionate kiss', 'From my mouth to yours', 'I like you', 'You', 'You', 'You', 'You', 'You', ""One baby to another says: I'm lucky to have met you"", ""I don't care what you think unless it is about me"", 'It is now my duty to completely drain you', 'I travel through a tube and end up in your infection', 'Chew your meat for you', 'Pass it back and forth', 'In a passionate kiss', 'From my mouth to yours', 'Sloppy lips to lips', ""You're my vitamins"", 'I like you']"
Dumb,"[""I'm not like them"", 'But I can pretend', 'The sun is gone', 'But I have a light', 'The day is done', ""But I'm having fun"", ""I think I'm dumb"", 'Maybe just happy', ""Think I'm just happy"", ""Think I'm just happy"", ""Think I'm just happy"", 'My heart is broke', 'But I have some glue', 'Help me inhale', 'And mend it with you', ""We'll flow around"", 'And hang out on clouds', ""Then we'll come down"", 'And I have a hangover', 'Have a hangover', 'Have a hangover', 'Have a hangover', 'Skin the sun', 'Fall asleep', 'Wish away', 'The soul is cheap', 'Lesson learned', 'Wish me luck', 'Soothe the burn', 'Wake me up', ""I'm not like them"", 'But I can pretend', 'The sun is gone', 'But I have a light', 'The day is done', ""But I'm having fun"", ""I think I'm dumb"", 'Maybe just happy', ""Think I'm just happy"", ""Think I'm just happy"", ""Think I'm just happy"", ""I think I'm dumb"", ""I think I'm dumb"", ""I think I'm dumb"", ""I think I'm dumb""]"
"Endless, Nameless","['Silence', 'Here I am', 'Here I am', 'Silent', 'Bright and clear', 'Its what I am', 'I have', 'Died', 'Mother (x4)', 'Death', 'With violence', 'Excitement', 'Right here', 'Died', 'Go to hell', 'Here I am', 'Right here', 'Owwww!', 'No mass (x4)', 'Death', 'Is what I am', 'Go to hell', 'Go to jail', 'In back of that', 'Crime', 'Here I am', 'Take a chance', 'Dead!', 'Die!']"
Even In His Youth,"['Even in his youth', 'Even in his youth', 'Even in his youth', 'He was nothing', 'Kept his body clean', 'Kept his body clean', 'Kept his body clean', 'Going nowhere', 'Daddy was ashamed', 'Daddy was ashamed', 'Daddy was ashamed', 'He was something', 'Disgrace the family name', 'Disgrace the family name', 'The family name', 'He was something', 'He was born for your crew', ""I've got nothing left to prove"", 'If I die before I wake', ""Hope I don't come back a slave"", 'Even in his youth', 'Even in his youth', 'Even in his youth', 'He was nothing', 'Kept his body clean', 'Kept his body clean', 'Kept his body clean', 'Going nowhere', 'Daddy was ashamed', 'Daddy was ashamed', 'He was the same', 'He was nothing', 'Disgrace the family name', 'Disgrace the family name', 'The family name', 'Going nowhere', 'Leave this one, for your brew', ""I've got nothing left to prove"", 'If I die before I wake', ""Hope I don't come back a slave"", 'Aye-Yeah!', 'Leave this one, for your brew', ""I've got nothing left to prove"", 'If I die before I wake', ""Hope I don't come back again"", ""I'm dying!"", 'Even in his youth', 'Even in his youth', 'Yeah, yeah', 'Even in his youth', 'Even in his youth', 'Yeah, yeah', 'Even in his youth', 'Yeah, yeah', 'Even in his youth', 'Yeah, yeah', 'Yeah, yeah', 'Yeah, yeah', 'Yeah, yeah', 'Yeah, yeah']"
Excuse,"[""You've got it, wish I had your life"", ""Yes, it's a blessing in disguise. You"", 'Sometimes I wish I had your life', 'What the fuck I loved this life for you', ""I missed and if that's true"", 'Know that I loved you,', 'flying in the skies with you and than', 'The only way I like it, the only way i take this,', 'its the only way I like it , the only reason why I take this', 'What do you have or do you want a lesser evil over?', 'Hold, and I will try just to be fucked, that is my excuse', 'That is my excuse', 'That is my excuse', 'What do you live, am I alive?', 'Can we be true this time around?', ""She was a whore and I'm her king"", 'Do you want or do you have?', 'Do you want or do you have?', 'Do you want or do you have?', 'Do you want or do you', 'No time for you, just for myself', 'Nothing left but to be impressed', 'It sad if we were freedom spell', 'I love this name I love this pain', 'Love this name I love this pain', 'Love this name I love this pain', 'So save yourself, tell me are for real?', 'Is that your name you once held?', 'And just an innocence for you', ""That's past and future's talking about you"", ""That's the past we are talking about the future"", ""That's the past we'll take it in the future"", 'What do you have or do you want?', 'A lesser evil or a hole?', 'I would die just to be taught so now that is my excuse', 'That is my excuse', 'That is my excuse', 'That is my excuse', 'What do you live? Am I alive?', ""Could be true this time around, she's a whore and I'm her king"", 'Do you want or do you have?', 'Do you want or do you have?', 'Do you want or do you have?', 'Long time for you I fought myself,', 'I have nothing left but to be impressed', 'That, if we could freedom spare,', 'I love this name I feel this pain', 'I love this name I love the pain', 'I love this name I love this pain', 'I love this name I love it']"
Floyd The Barber,"['Bell on door clanks: Come on in', 'Floyd observes my hairy chin', ""Sit down chair, don't be afraid"", 'Steaming hot towel on my face', 'I was shaved', 'I was shaved', 'I was shaved', 'Barney ties me to the chair', ""I can't see, I'm really scared"", 'Floyd breathes hard, I hear a zip', 'Pee-pee pressed against my lips', 'I was shamed', 'I was shamed', 'I was shamed', 'I sense others in the room', 'Opey, Aunt Bee, I presume', 'They take turns in cut me up', ""I die smothered in Andy's butt"", 'I was shaved', 'I was shaved', 'I was shaved']"
Forgotten Tune,['Instrumental']
Frances Farmer Will Have Her Revenge On Seattle,"[""It's so relieving"", ""To know that you're leaving"", 'As soon as you get paid', ""It's so relaxing"", ""To hear that you're asking"", 'Whenever you get your way', ""It's so soothing"", ""To know that you'll sue me"", 'Starting to sound the same', 'I miss the comfort in being sad', 'I miss the comfort in being sad', 'I miss the comfort in being sad', 'In her false witness', ""Hope you're still with us"", 'To see if they float or drown', 'Our favorite patient', 'A display of patience', 'Disease-covered Puget sound', ""She'll come back as fire"", 'To burn all the liars', 'Leave a blanket of ash on the ground', 'I miss the comfort in being sad', 'I miss the comfort in being sad', 'I miss the comfort in being sad', ""It's so relieving"", ""To know that you're leaving"", 'As soon as you get paid', ""It's so relaxing"", ""To know that you're asking"", 'Whenever you get your way', ""It's so soothing"", ""To know that you'll sue me"", 'Starting to sound the same', 'I miss the comfort in being sad', 'I miss the comfort in being sad', 'I miss the comfort in being sad']"
Gallons Of Rubbing Alcohol Flow Through The Strip,"['It hurts when you have to press that dull little thing', ""that you're only supposed to use once and then discard."", 'Where do you put it? In the garbage can, my honest friend.', 'My shyness, pet her flow.', ""She's only been five months late,"", ""even though we haven't had sex for a week."", 'A meal a day, a meal, I say.', ""And my heart's made my"", 'Somebody else already used the word aurora borealis.', 'She was tied up in chains, and Sam had helped her in thefreezer.', ""She's only five weeks late,"", ""and I haven't had a date forever"", 'ever...ever...forever!', 'Wish I had more...more opportunity,', 'more chances to remember some things', ""so I couldn't have so much pressure on my..."", 'on my...on my, um...ah, on my...um...um...head.', ""We'd have so much more diversity,"", 'and so much more input, so much more creative flow,', 'if we had someone in school, a (GIT)', 'GIT...geeks...in...town.', 'Ha!...Come on, Dave, think of one', 'Girls In Trouble', 'It should be GIC, geeks with Charvels', 'No, GWC', 'Fuck, man, this is a waste of time!', '(laughs) One more solo? Yeahhhhhhhhh! Yeaaaahhhhh!', ""You're personally responsible for"", 'the entire strip...to be washed away', 'cleansed...as if gallons of, um, rubbing alcohol', 'flowed through the strip and were set on fire.', ""It didn't just singe the hair, it made it straight."", 'And then Perry Ellis came along with his broom,', 'and his...silk', 'and he...he erected a beautiful city', 'a city of stars.']"
Habanera Jam,['Instrumental']
Hairspray Queen,"['I was your mine, you were mine, my enemy', 'You were mine, I was your, your enemy', 'You were mine, I was your, your enemy', 'You were mine, I was once your ene.....aaaaaaah', 'You rang', 'Your ears rang', 'I was your mine, you were mine, my enemy,', 'You were mine, I was your, your enemy,', 'You were mine, I was your, your enemy,', 'You were mine, I was once your ene..aaaaaaaaahhh', 'At night, wishful goddess', 'At night, wish the hardest', 'At night, disco goddess', ""At night, we'll go gaaaaaaaaahhh!"", 'I was your mine, you were mine, my enemy,', 'You were mine, I was your, your enemy,', 'You were mine, I was your, your enemy,', 'You were mine, I was once your ene ...', 'Wishful goddess, at night', 'Wish the hardest, at night', 'Wishful goddess, at night', 'Wishful gaaahhh!', 'I was your mine, you were mine, my enemy,', 'You were mine, I was your, your enemy,', 'You were mine, I was your, your enemy,', 'You were mine, I was once your ene!', 'At night, wishful goddess', 'At night, wish the hardest', 'At night, disco goddess', 'At night, you were so modest', 'At night, Crisco lovefest', 'At night, a mouthful on me', ""It's like, fish-filled garbage"", ""At night, we'll go ... gaaahhh !!"", '(grunting noises until the end of the song)']"
Heart-Shaped Box,"['She eyes me like a Pisces when I am weak', ""I've been locked inside your heart-shaped box for weeks"", ""I've been drawn into your magnet tar pit trap"", 'I wish I could eat your cancer when you turn black', ""Hey, wait! I've got a new complaint!"", 'Forever in debt to your priceless advice', ""Hey, wait! I've got a new complaint!"", 'Forever in debt to your priceless advice', ""Hey, wait! I've got a new complaint!"", 'Forever in debt to your priceless advice', 'Your advice', 'Meat-eating orchids forgive no one just yet', ""Cut myself on angel hair and baby's breath"", ""Broken hymen of Your Highness, I'm left back"", 'Throw down your umbilical noose, so I can climb right back', ""Hey, wait! I've got a new complaint!"", 'Forever in debt to your priceless advice', ""Hey, wait! I've got a new complaint!"", 'Forever in debt to your priceless advice', ""Hey, wait! I've got a new complaint!"", 'Forever in debt to your priceless advice', 'Your advice', 'She eyes me like a Pisces when I am weak', ""I've been locked inside your heart-shaped box for weeks"", ""I've been drawn into your magnet tar pit trap"", 'I wish I could eat your cancer when you turn black', ""Hey, wait! I've got a new complaint!"", 'Forever in debt to your priceless advice', ""Hey, wait! I've got a new complaint!"", 'Forever in debt to your priceless advice', ""Hey, wait! I've got a new complaint!"", 'Forever in debt to your priceless advice', 'Your advice', 'Your advice', 'Your advice']"
Heartbreaker,"['Hey fellas, have you heard the news?', ""You know that Annie's back in town?"", ""It won't take long just watch and see"", 'How the fellas lay their money down', 'Her style is new but the face is the same', 'As it was so long ago', 'But from her eyes....']"
"Help Me, Im' Hungry","['""That\'s it""', 'Until my tensions', ""Feed me, I'm fucking hungry"", 'Degrade me', 'I want my gun back', 'Like the fucking resume', 'Experience credentials', 'Experience the process', 'People freaking every day', 'White lights', 'Sitting inside', 'And you get sicker then you get a little better', 'Then a', 'Blasphemy', ""Hold me, I'm so pathetic"", 'And study, all the sudden', 'Baby, suddenly find her', 'Daddy, exploring only', 'Like the fucking resume', 'Experience credentials', 'Experience the process', 'People freaking every day', 'White lights', 'Sitting inside', 'And you get sicker then you get a little better', 'Hold me', 'Until my tensions degrade me', ""I'm fucking hungry"", 'Feed me, the wells of comfort', 'Exume me', 'I want my complex back', 'A wicked man', 'Picked off the scabs and fed them', 'To the pigeons', 'Help him, he is so cornered', 'Kill him, your mercy whore will', 'Like the fucking resume', 'Experience potentials', 'Experience the process', 'People freaking every day', 'White lights really inside', 'And you get sicker than ahhhhhhh', 'Help me, fucking hoses', 'Help me, until my tensions', ""Praise me, I'm really hungry"", 'Degrade me, I want my complex back', '""Thank you and, good night""']"
Here She Comes Now,"['Now, she ever comes now now', 'She ever comes now now', 'She ever comes now', 'Now, she ever comes now now', 'She ever comes now now', 'She ever comes now', 'Oh, she looks so good', ""Oh, she's made out of wood"", 'She said so', 'Now, she ever comes now now', 'She ever comes now now', 'She ever comes now', 'Now, she ever comes now now', 'She ever comes now now', 'She ever comes now', 'Oh, she looks so good', ""Oh, she's made out of wood"", 'She said so', 'Now, she ever comes now now', 'She ever comes now now', 'She ever comes now', 'Now, she ever comes now now', 'She ever comes now now', 'She ever comes now', 'Oh, she looks so good', ""Oh, she's made out of wood"", 'Oh, she looks so good', ""Oh, she's made out of wood"", 'She said so', 'Now, she ever comes now now', 'She ever comes now now', 'She ever comes now', 'Now, she ever comes now now', 'She ever comes now now', 'She ever comes now', 'Oh, she looks so good', ""Oh, she's made out of wood"", 'Oh, she looks so good', ""Oh, she's made out of wood"", 'She say', 'She ever comes now now, now', ""Oh, she says she's comes now now"", 'Ever, ever, ever, comes now now', 'Ever comes and she comes now', 'Now, now, now', 'Now, n-n-n-n-n nah, nah, nah', 'Ever comes now now', 'Now, uh huh']"
Horrified,"['When I have a hand', 'When I have a hand', 'When I need undressed', ""From all that I've had"", ""I know that I've had"", ""Comin' to her sin"", ""When I know I've had"", ""Lend a helpin' hand"", ""And I'll help herself"", 'When I ya', 'When I ya', 'When I ya', 'When I ya', 'When I ya', 'When I ya', ""When I know I'm there"", 'When I smell her stare', 'I know no one breathe', 'Send my soul right there', 'Sell my soul right there', ""And I'll know I'll be"", 'From all that I have', 'When I know I have', 'When I have a plan', 'When I ya', 'When I ya', 'When I ya', 'Tonight ya', 'Tonight ya', 'Tonight ya', 'P.S.: esta letra é uma demo de 1991, gravada na Holanda entre Nevermind e o In Utero.']"
I Feel Fine,"[""Baby's good to me you know"", ""She's happy as can be, you know"", 'She said so', ""I'm in love with her and I feel fine"", ""Baby says she's mine, you know"", 'she tells me all the time, you now', 'She said so ', ""I'm in love with her and I feel fine"", ""I'm so glad that she's my little girls"", ""She's so glad she's telling all the world"", 'That her baby buys her things you know', 'He buys her diamond rings, you know', 'She said so', ""She's in love with me and I feel fine, mm"", ""Baby says she's mine, you know "", 'She tells me all the time, you now', 'She said so', ""I'm in love with her and I feel fine"", ""I'm so glad that she's my little girls"", ""She's so glad she's telling all the world"", 'That her baby buys her things you know ', 'He buys her diamond rings, you know', 'She said so', ""She's in love with me and I feel fine"", ""She's in love with me and I feel fine, mm""]"
I Hate Myself And I Want To Die,"['Running nose and runny yolk', 'Even if you have a cold still', 'You can cough on me again', ""I still haven't had my full fill"", 'In the someday', ""What's that sound?"", 'End it someday', ""What's that song?"", 'In the someday', ""What's that sound?"", 'End it someday', ""What's that song?"", 'Broken heart and broken bones', 'Finger pressing down to the horse pills', '(Think about the guys in the hospitals)', 'One more quirky cliched phrase', ""You're the one I wanna refill"", ""(You don't wanna wanna read them)"", 'In the someday', ""What's that sound?"", 'End it someday', ""What's that song?"", 'In the someday', ""What's that sound?"", 'End it someday', ""What's that song?"", '(Words are broken lives)', ""Most people don't realize that large pieces of coral, which have been painted brown and attached to the skull by common wood screws, can make a child look like a deer."", 'In the someday', ""What's that sound?"", 'End it someday', ""What's that song?"", 'In the someday', ""What's that sound?"", 'End it someday', ""What's that song?"", 'Running nose and runny yolk', 'Even if you have a cold still', 'You can cough on me again', ""I still haven't had my full fill"", 'In the someday', ""What's that sound?"", 'End it someday', ""What's that song?"", 'In the someday', ""What's that sound?"", 'End it someday', ""What's that song?"", 'In the some day', ""What's that sound"", 'In the some day', ""What's that sound"", 'In the some day', ""What's that sound"", 'In the some day', ""What's that sound""]"
I Just Want To Sleep,"['So many hours gone', 'You know, you won', ""I could say that I'm afraid"", 'But tonight I will try to forget', 'I cannot sleep', ""I can't even try"", 'I know that I will lose this daily fight', 'What is wrong with me?', 'What is wrong with me?', 'I just want to sleep!', ""Don't you hate me if I need you"", ""'Cause I don't know what to do"", ""I'm confused about use it"", 'Well, I lost for you two', 'I cannot sleep', ""I can't even try"", 'I know that I will lose this daily fight', 'What is wrong with me?', 'What is wrong with me?', 'I just want to sleep!', 'So many hours gone', 'You know, you won', ""I could say that I'm affraid"", 'But tonight I will try to forget that', 'I cannot sleep', ""I can't even try"", 'I know that I will lose this daily fight', 'What is wrong with me?', 'What is wrong with me?', 'I just want to sleep']"
If You Must,"['I can read, I can write', 'I can breathe, proven fact', 'Bless my greed, crease unfold', 'Is it me, or my ego', 'Write some words, make them rhyme', 'Pieces for, story line', 'Set the mood, something new', 'Is it me, or my attitude', 'If you want, to belong', 'And you miss, the extremes', 'The extremes, acted out', 'Practicing', 'Perfecting', 'Pressuring', 'Unto to me', 'I will wade, in the fire', 'To explain, your asylum', 'Idle times, analyzing', ""We'll compare, all our sightings, come on"", 'I speak, to hear, my voice']"
Immigrant Song,"['We come from the land of the ice and snow,', 'From the midnight sun where the hot springs blow.', 'The hammer of the gods,', 'Will drive our ships to new lands,', 'To fight the horde singing and crying:', '?Valhalla I am coming!?', 'On we sweep,', 'With thrashing oar.', 'Our only goal will be the western shore', 'We come from the land of the ice and snow,', 'From the midnight sun where the hot springs blow.', 'Sultry fields of green,', 'Whispered tales of lore,', 'Of how we calmed the tides of war,', 'We are your overlords', 'On we sweep,', 'With thrashing oar', 'Our only goal will be the western shore', 'So now you?d better stop and rebuild all your ruins,', 'For peace and trust can win', 'The day despite all your losing']"
In Bloom,"['Sell the kids for food', 'Weather changes moods', 'Spring is here again', 'Reproductive glands', ""He's the one who likes all our pretty songs"", 'And he likes to sing along', 'And he likes to shoot his gun', ""But he don't know what it means"", ""Don't know what it means, and I say"", ""He's the one who likes all our pretty songs"", 'And he likes to sing along', 'And he likes to shoot his gun', ""But he don't know what it means"", ""Don't know what it means, and I say yeah"", 'We can have some more', 'Nature is a whore', 'Bruises on the fruit', 'Tender age in bloom', ""He's the one who likes all our pretty songs"", 'And he likes to sing along', 'And he likes to shoot his gun', ""But he don't know what it means"", ""Don't know what it means, and I say"", ""He's the one who likes all our pretty songs"", 'And he likes to sing along', 'And he likes to shoot his gun', ""But he don't know what it means"", ""Don't know what it means, and I say yeah"", ""He's the one who likes all our pretty songs"", 'And he likes to sing along', 'And he likes to shoot his gun', ""But he don't know what it means"", ""Don't know what it means, and I say"", ""He's the one who likes all our pretty songs"", 'And he likes to sing along', 'And he likes to shoot his gun', ""But he don't know what it means"", ""Don't know what it means"", ""Don't know what it means"", ""Don't know what it means, and I say yeah""]"
In His Hands,"['He is gonna chase you in and out of a dream', ""You're not gonna thank him and I'm tired of this dream"", 'Take him on occassion in the back of the room', ""If they don't show any affection he'll died in june"", 'See the stab wounds in his hands', 'See him dying in his room', ""He's dying in his room"", ""He's dying in his room"", 'Heading for me, heading this way', ""He is coming, I don't care"", ""I don't want to thank you, well I don't mind"", 'Gave his only pleasures to a friend of mine', ""He's not gonna catch you in a lighted room"", ""You don't thank him I know I should"", 'See the stab wounds in his hands', ""You killed him, I don't care"", 'Keep a promise, you would too', 'Keep a promise, you would too', 'See the silence in his head', ""He is coming, I don't care"", ""We're not gonna make it, well I don't mind"", ""They don't want to thank him, they don't have any time"", ""In a conversation whom they don't know"", ""They don't have any patience, they're becoming slow"", 'See a famine in his head', 'See him coming at their heels', 'He loves you, give him a chance', ""I don't love him, I don't care"", 'See him starving, give her hell', ""It is over, we don't care in his room""]"
It's Closing Soon,"['Why, oh why, oh why, ', 'Ohhhh, why.....(many times) ', 'Aaaaah..oohhhhh ', ""(You're guess is as good as mine...)"", ""(It's all mumbling and moaning)""]"
Jealousy,"['So jealous', 'I never', 'Ever get', 'Jealous']"
Jesus Doesn't Want Me For A Sunbeam,"[""Jesus, don't want me for a sunbeam"", 'Sunbeams are not made like me', ""Don't expect me to cry"", 'For all the reasons you had to die', ""Don't ever ask your love of me"", ""Don't expect me to cry"", ""Don't expect me to lie"", ""Don't expect me to die for thee""]"
Junkyard (Token Eastern Song),"[""I'm long gone from vertical, somewhere south is stopping me"", ""I'm long gone from the american dream, you may decide it's notfor me"", ""I'm long gone but I'll let you through, you may decide it's notfor you."", ""I'm long gone but I'll let you through, you may decide there'snothing there"", 'born in a junkyard', ""I'm long gone but I'll let you through, you may decide that it'snot good"", ""I'm long gone but I'll let you leave, you may decide on stoppingme"", ""I'm long gone but I'll let you through, you may decide it's notthat good"", ""I'm long gone but I'll let you leave, you may decide on stoppingme."", 'born in a junkyard', 'gone']"
Lake Of Fire,"['Where do bad folks go when they die?', ""They don't go to heaven, where the angels fly"", 'Go to a lake of fire and fry', ""See them again 'till the Fourth of July"", 'I knew a lady who came from Duluth', 'Bitten by a dog with a rabid tooth', 'She went to her grave just a little too soon', 'Flew away howling on the yellow moon', 'Where do bad folks go when they die?', ""They don't go to heaven, where the angels fly"", 'Go to a lake of fire and fry', ""See them again 'till the Fourth of July"", 'People cry and people moan', 'Look for a dry place to call their home', 'Try to find some place to rest their bones', ""While the angels and the devils try to make 'em their own"", 'Where do bad folks go when they die?', ""They don't go to heaven, where the angels fly"", 'Go to a lake of fire and fry', ""See them again 'till the Fourth of July""]"
Laminated Effect,"['Johnny was a homo', 'Kept his body clean', 'Moved to San Francisco', 'Caught a big disease', 'Raped by his daddy', 'Johnny was at war', 'Living life unhappy', 'Covered up with salt', ""We're living in a time of change"", 'Too many things you feel afraid', 'Do things against the will of God', ""Maybe someday soon they'll realize they're wrong"", 'Lucy was a lesbian', ""Didn't make no sense"", 'Moved to Acapulco', 'Nothing goes in her hole', 'Then she met Johnny', 'The dancing was informal', 'He and she got naughty', ""Found out that it's normal"", 'We are living in a time of change', 'Too many things you feel afraid', 'Do things against the will of God', ""Maybe someday soon they'll realize they're wrong"", 'Made not born', 'Made not born', 'Made not born', 'Made not born', 'Made not born', 'Made not born']"
Lithium,"[""I'm so happy"", ""'Cause today I've found my friends"", ""They're in my head"", ""I'm so ugly"", ""But that's okay, 'cause so are you"", 'We broke our mirrors', 'Sunday morning', 'Is everyday, for all I care', ""And I'm not scared"", 'Light my candles', ""In a daze, 'cause I've found God"", 'Yeah, yeah', 'Yeah, yeah', 'Yeah, yeah', 'Yeah, yeah', 'Yeah, yeah', 'Yeah, yeah, yeah', ""I'm so lonely"", ""But that's okay, I shaved my head"", ""And I'm not sad"", 'And just maybe', ""I'm to blame for all I've heard"", ""But I'm not sure"", ""I'm so excited"", ""I can't wait to meet you there"", ""But I don't care"", ""I'm so horny"", ""But that's okay, my will is good"", 'Yeah, yeah', 'Yeah, yeah', 'Yeah, yeah', 'Yeah, yeah', 'Yeah, yeah', 'Yeah, yeah, yeah', ""I like it (I'm not gonna crack)"", ""I miss you (I'm not gonna crack)"", ""I love you (I'm not gonna crack)"", ""I killed you (I'm not gonna crack)"", ""I like it (I'm not gonna crack)"", ""I miss you (I'm not gonna crack)"", ""I love you (I'm not gonna crack)"", ""I killed you (I'm not gonna crack)"", ""I'm so happy"", ""'Cause today I've found my friends"", ""They're in my head"", ""I'm so ugly"", ""But that's okay, 'cause so are you"", 'We broke our mirrors', 'Sunday morning', 'Is everyday, for all I care', ""And I'm not scared"", 'Light my candles in a daze', ""'Cause I've found God"", 'Yeah, yeah', 'Yeah, yeah', 'Yeah, yeah', 'Yeah, yeah', 'Yeah, yeah', 'Yeah, yeah, yeah', ""I like it (I'm not gonna crack)"", ""I miss you (I'm not gonna crack)"", ""I love you (I'm not gonna crack)"", ""I killed you (I'm not gonna crack)"", ""I like it (I'm not gonna crack)"", ""I miss you (I'm not gonna crack)"", ""I love you (I'm not gonna crack)"", ""I killed you (I'm not gonna crack)""]"
Loser,"[""She shoot through there after thunder ain't her pretty?"", 'Wake me up and I feel hot do you understand?', 'Now I fallen through her decision she likes aaah', 'Leave me only up and come back to her trap', ""And I'm a loser and I need a little love"", ""And I'm a loser and I need a little love"", ""And I'm a loser and I need a little love"", ""And I'm a loser and I need a little love"", 'Judas thermal selection when what a lie', 'Blue is eating our special drum man (go to his bed)', 'looking through your lies', ""we recover while I'm in there what a lie"", ""And I'm a loser and I need a little love"", ""And I'm a loser and I need a little love"", ""And I'm a loser and I need a little love"", ""And I'm a loser and I need a little love"", ""She shoot through there after thunder ain't her pretty?"", 'Wake me up and I feel hot do you understand?', 'Now I fallen through her decision she likes aaah', 'Leave me only up and come back to her trap', ""And I'm a loser and I need a little love"", ""And I'm a loser and I need a little love"", ""And I'm a loser and I need a little love"", ""And I'm a loser and I need a little love""]"
Lounge Act,"['Truth covered in security', ""I can't let you smother me"", ""I'd like to, but it couldn't work"", 'Trading off and taking turns', ""I don't regret a thing"", ""And I've got this friend, you see, who makes me feel"", 'And I wanted more than I could steal', ""I'll arrest myself, I'll wear a shield"", ""I'll go out of my way to prove I still"", 'Smell her on you', ""Don't tell me what I wanna hear"", 'Afraid of never knowing fear', 'Experience anything you need', ""I'll keep fighting jealousy"", ""Until it's fucking gone"", ""And I've got this friend, you see, who makes me feel"", 'And I wanted more than I could steal', ""I'll arrest myself, I'll wear a shield"", ""I'll go out of my way to prove I still"", 'Smell her on you', 'Truth covered in security', ""I can't let you smother me"", ""I'd like to, but it couldn't work"", 'Trading off and taking turns', ""I don't regret a thing"", ""And I've got this friend, you see, who makes me feel and I"", 'Wanted more than I could steal', ""I'll arrest myself, I'll wear a shield"", ""I'll go out of my way to make you a deal"", ""We've made a pact to learn from who"", 'Ever we want without new rules', ""We'll share what's lost and what we grew"", ""They'll go out of their way to prove they still"", 'Smell her on you', 'They still', 'Smell her on you', 'Smell her on you']"
Love Buzz,"['Would you believe me when I tell you', ""You're the queen of my heart"", ""Please don't deceive me when I hurt you"", ""Just ain't the way it seems"", 'Can you feel my love buzz?', 'Can you feel my love buzz?', 'Can you feel my love buzz?', 'Can you feel my love buzz?', 'Would you believe me when I tell you', 'You are the queen of my heart', ""Please don't deceive me when I hurt you"", ""Just ain't the way it seems"", 'Can you feel my love buzz?', 'Can you feel my love buzz?', 'Can you feel my love buzz?', 'Can you feel my love buzz?']"
Made Not Born,"['Johnny was a homo', 'Kept his body clean', 'Moved to san francisco', 'Caught a big disease', 'Raped by his daddy', 'Johnny was at war', 'Living life unhappy', 'Covered up with salt', ""We're living in a time of change"", 'Too many things you feel afraid', 'Do things against the will of god', ""Maybe someday soon they'll realize they're wrong"", 'Lucy was a lesbian', ""Didn't make no sense"", 'Moved to acapulco', 'Nothing goes in her hole', 'Then she met johnny', 'The dancing was informal', 'He and she got naughty', ""Found out that it's normal"", 'We are living in a time of change', 'Too many things you feel afraid', 'Do things against the will of god', ""Maybe someday soon they'll realize they're wrong"", 'Made not born', 'Made not born', 'Made not born', 'Made not born', 'Made not born', 'Made not born']"
